ApplicationDate,Age,AnnualIncome,CreditScore,EducationLevel,Experience,LoanAmount,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,DebtToIncomeRatio,LoanPurpose,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,MonthlyIncome,NetWorth,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
01-01-2018,45,39948,617,Master,22,13152,Own,183,0.354417919,0.3583356,Home,7632,1202,146111,3329,126928,0.22758963,419.8059916,0.181077198,0,49
02-01-2018,38,39709,628,Associate,15,26045,Mortgage,496,0.087826968,0.33027367,Debt Consolidation,4627,3460,53204,3309.083333,43609,0.201077121,794.0542382,0.389852448,0,52
03-01-2018,47,40724,570,Bachelor,26,17627,Rent,902,0.137414104,0.244729109,Education,886,895,25176,3393.666667,5205,0.21254801,666.4066877,0.462156965,0,52
04-01-2018,58,69084,545,High School,34,37898,Mortgage,755,0.267587137,0.436244265,Home,1675,1217,104822,5757,99452,0.300910849,1047.50698,0.313098312,0,54
05-01-2018,37,103264,594,Associate,17,9184,Mortgage,274,0.320535325,0.078884212,Debt Consolidation,1555,4981,244305,8605.333333,227019,0.175990179,330.1791405,0.070209847,1,36
06-01-2018,37,178310,626,Master,16,15433,Rent,732,0.102211337,0.259366401,Debt Consolidation,2118,1223,67914,14859.16667,27071,0.217601155,385.5770742,0.075211289,1,44
07-01-2018,58,51250,564,High School,39,12741,Rent,337,0.367380343,0.127472703,Other,5161,1735,65624,4270.833333,21730,0.205270968,391.3003517,0.170528863,0,50
08-01-2018,49,97345,516,High School,23,19634,Mortgage,288,0.209767583,0.395567635,Other,781,74,50177,8112.083333,38621,0.209112942,1827.360055,0.260766559,1,42.4
09-01-2018,34,116841,603,Bachelor,12,55353,Own,638,0.192701165,0.31323326,Debt Consolidation,1157,708,29632,9736.75,7711,0.291539425,1762.199026,0.246509259,0,61
10-01-2018,46,40615,612,Associate,19,25443,Other,704,0.512464644,0.505148027,Other,1028,446,129664,3384.583333,116812,0.197270602,2353.577424,0.903383703,0,53
11-01-2018,34,73646,478,Associate,10,48716,Own,267,0.211235988,0.08144473,Auto,9266,3875,148966,6137.166667,128651,0.333538882,1504.452489,0.288643373,0,47
12-01-2018,34,15000,591,Bachelor,11,30088,Mortgage,295,0.312183775,0.346685661,Home,259,348,33062,1250,29709,0.182401198,1505.609528,1.440487622,0,56
13-01-2018,42,74453,573,Bachelor,21,16154,Rent,258,0.527488434,0.371033592,Debt Consolidation,781,1633,16204,6204.416667,5231,0.255684531,479.5398903,0.118873366,0,56
14-01-2018,18,100508,580,Associate,0,20439,Rent,247,0.168624846,0.58136098,Other,2027,916,181813,8375.666667,82783,0.245374274,594.3815332,0.10045547,0,63
15-01-2018,19,47624,597,Bachelor,0,27197,Mortgage,196,0.114966564,0.751514819,Debt Consolidation,2971,576,45336,3968.666667,35918,0.202228922,1013.829375,0.304845299,0,58
16-01-2018,33,56650,605,Doctorate,11,12652,Mortgage,336,0.423430863,0.044156804,Auto,242,131,261435,4720.833333,250291,0.216412752,480.840828,0.173028949,1,33.6
17-01-2018,27,50042,582,Doctorate,7,19105,Rent,680,0.103919134,0.308869314,Debt Consolidation,2214,1219,11162,4170.166667,7021,0.187129387,492.5814437,0.281183352,0,53
18-01-2018,43,142326,644,Bachelor,24,13499,Mortgage,772,0.222579231,0.295469876,Other,13247,856,73836,11860.5,69623,0.223794765,303.1952309,0.090653449,1,39.2
19-01-2018,29,16021,553,High School,8,14655,Rent,286,0.55603001,0.10456869,Debt Consolidation,8651,1127,29278,1335.083333,3933,0.234766213,381.1768758,0.499726765,0,59
20-01-2018,23,34698,594,Associate,0,14314,Mortgage,755,0.18720284,0.100597962,Debt Consolidation,3721,2098,128035,2891.5,55430,0.231478314,404.7350889,0.401084243,0,48
21-01-2018,57,106749,630,Master,30,15698,Rent,1059,0.132542598,0.147279682,Auto,1686,4304,212568,8895.75,204416,0.204412692,481.3942886,0.173160699,1,32.8
22-01-2018,37,59138,594,Associate,14,13205,Own,564,0.393772188,0.111663227,Auto,1187,5192,24257,4928.166667,5576,0.211443961,325.1174211,0.180415453,0,51
23-01-2018,40,114216,635,Doctorate,17,9809,Rent,571,0.224187421,0.630448393,Home,720,2127,23984,9518,2482,0.201114034,260.4869053,0.087359414,1,46.4
24-01-2018,22,63300,503,Associate,0,16476,Rent,376,0.389649375,0.235798589,Home,2154,1735,14710,5275,6903,0.231670288,864.2694728,0.235122175,0,53
25-01-2018,33,39676,555,Master,12,47795,Other,199,0.346519864,0.573394538,Home,840,1085,157749,3306.333333,81172,0.253474142,1412.597891,0.48742753,0,60
26-01-2018,41,59192,594,High School,16,45608,Mortgage,222,0.409336365,0.230115845,Auto,21084,3449,67609,4932.666667,58413,0.200682644,1696.543489,0.388946511,0,58
27-01-2018,26,15059,462,Associate,0,20240,Other,443,0.09882176,0.067066338,Home,713,7335,29861,1254.916667,16754,0.246020665,1076.202706,1.21060047,0,51
28-01-2018,44,15305,608,Bachelor,23,21452,Mortgage,443,0.111314692,0.063153792,Home,9547,979,16936,1275.416667,9931,0.225375302,682.1440642,0.882177639,0,51
29-01-2018,32,35498,622,Master,10,11136,Own,698,0.39074471,0.176444352,Home,1346,205,34189,2958.166667,2705,0.164845971,394.1781845,0.369207792,0,48
